campaign,comparison,n_seeds,compliance_n,compliance_direction,compliance_p,compliance_significant,reward_n,reward_direction,reward_p,reward_significant,precision_n,precision_direction,precision_p,precision_significant,disagree_with_reward,disagree_with_reward_kind,disagree_with_precision,disagree_with_precision_kind,disagree,disagree_kind,gap
M2,gat_ctde vs single_agent_dqn (centralised),30,30,positive,0.45488884468908175,False,30,positive,0.05769938573406042,False,20,negative,0.31731050786291415,False,False,,True,direction_only,True,direction_only,
M2,gat_ctde vs independent_dqn (centralised),30,30,positive,0.06746383613161147,False,30,positive,2.6885420083999634e-05,True,20,positive,0.10974463874701328,False,True,significance_flip,False,,True,significance_flip,
M3,"gat_ctde (M2, centralised) vs fl_gat_ctde_sigma0.0 (federation cost)",10,10,positive,0.8125,False,10,positive,0.8125,False,4,zero,nan,,False,,True,direction_only,True,direction_only,
M3,fl_gat_ctde_sigma0.0 vs sigma0.5 (privacy cost),10,10,negative,0.5,False,10,negative,0.5,False,4,zero,nan,,False,,True,direction_only,True,direction_only,
M3,fl_gat_ctde_sigma0.0 vs sigma1.0 (privacy cost),10,10,negative,0.3125,False,10,negative,0.3125,False,3,zero,nan,,False,,True,direction_only,True,direction_only,
M3,fl_gat_ctde_sigma0.0 vs sigma2.0 (privacy cost),10,10,positive,0.6875,False,10,positive,0.21875,False,6,positive,0.5,False,False,,False,,False,,
M3,fl_gat_ctde_sigma0.0 vs sigma4.0 (privacy cost),10,10,negative,0.3125,False,10,positive,0.4375,False,4,positive,0.5,False,True,direction_only,True,direction_only,True,direction_only,
M4,gat_ctde dropout_sev1 vs own undisrupted baseline,10,10,positive,0.0625,False,10,positive,0.001953125,True,7,positive,0.015625,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4,gat_ctde dropout_sev2 vs own undisrupted baseline,10,10,positive,0.0625,False,10,positive,0.001953125,True,7,positive,0.015625,True,True,significance_flip,True,significance_flip,True,significance_flip,
M4,gat_ctde dropout_sev3 vs own undisrupted baseline,10,10,positive,0.03125,True,10,positive,0.001953125,True,7,positive,0.015625,True,False,,False,,False,,
M4,gat_ctde churn_sev1 vs own undisrupted baseline,10,10,positive,0.1875,False,10,positive,0.00390625,True,7,positive,0.125,False,True,significance_flip,False,,True,significance_flip,
